date,close,open,high,low,,
"Feb 24, 2016","1,263.80","1,263.80","1,263.80","1,263.80",,
"Feb 23, 2016","1,248.10","1,248.10","1,248.10","1,248.10",,
"Feb 22, 2016","1,233.40","1,236.00","1,236.00","1,236.00",,
"Feb 19, 2016","1,254.10","1,254.10","1,254.10","1,254.10",,
"Feb 18, 2016","1,249.20","1,249.20","1,249.20","1,249.20",,
"Feb 17, 2016","1,233.90","1,233.90","1,233.90","1,233.90",,
"Feb 16, 2016","1,227.80","1,231.00","1,231.00","1,224.20",,
"Feb 15, 2016","1,208.10","1,234.00","1,235.10","1,202.80",,
"Feb 14, 2016","1,233.60","1,235.70","1,235.90","1,231.40",,
"Feb 12, 2016","1,257.90","1,257.90","1,257.90","1,257.90",,
"Feb 11, 2016","1,268.80","1,259.00","1,259.00","1,259.00",,
"Feb 10, 2016","1,219.30","1,219.30","1,219.30","1,219.30",,
"Feb 09, 2016","1,223.40","1,223.40","1,223.40","1,223.40",,
"Feb 08, 2016","1,224.50","1,224.50","1,224.50","1,224.50",,
"Feb 05, 2016","1,184.30","1,184.30","1,184.30","1,184.30",,
"Feb 04, 2016","1,184.00","1,183.60","1,183.60","1,183.60",,
"Feb 03, 2016","1,169.60","1,169.60","1,169.60","1,169.60",,
"Feb 02, 2016","1,156.40","1,156.40","1,156.40","1,156.40",,
"Feb 01, 2016","1,157.80","1,157.80","1,157.80","1,157.80",,
"Jan 29, 2016","1,146.20","1,146.20","1,146.20","1,146.20",,
"Jan 28, 2016","1,147.80","1,147.80","1,147.80","1,147.80",,
"Jan 27, 2016","1,148.00","1,148.00","1,148.00","1,148.00",,
"Jan 26, 2016","1,151.40","1,151.40","1,151.40","1,151.40",,
"Jan 25, 2016","1,136.50","1,136.50","1,136.50","1,136.50",,
"Jan 22, 2016","1,126.70","1,126.70","1,126.70","1,126.70",,
"Jan 21, 2016","1,127.70","1,127.70","1,127.70","1,127.70",,
"Jan 20, 2016","1,135.80","1,135.80","1,135.80","1,135.80",,
"Jan 19, 2016","1,119.90","1,119.90","1,119.90","1,119.90",,
"Jan 18, 2016","1,088.50","1,090.20","1,093.30","1,087.40",,
"Jan 17, 2016","1,090.30","1,088.60","1,090.80","1,088.60",,
"Jan 15, 2016","1,121.60","1,121.60","1,121.60","1,121.60",,
"Jan 14, 2016","1,106.40","1,106.40","1,106.40","1,106.40",,
"Jan 13, 2016","1,120.60","1,120.60","1,120.60","1,120.60",,
"Jan 12, 2016","1,120.30","1,120.30","1,120.30","1,120.30",,
"Jan 11, 2016","1,131.70","1,131.70","1,131.70","1,131.70",,
"Jan 08, 2016","1,134.90","1,134.90","1,134.90","1,134.90",,
"Jan 07, 2016","1,145.30","1,145.30","1,145.30","1,145.30",,
"Jan 06, 2016","1,134.50","1,134.50","1,134.50","1,134.50",,
"Jan 05, 2016","1,121.00","1,121.00","1,121.00","1,121.00",,
"Jan 04, 2016","1,118.10","1,118.10","1,118.10","1,118.10",,
"Dec 31, 2015","1,103.40","1,103.40","1,103.40","1,103.40",,
"Dec 30, 2015","1,103.20","1,103.20","1,103.20","1,103.20",,
"Dec 29, 2015","1,111.00","1,111.00","1,111.00","1,111.00",,
"Dec 28, 2015","1,110.50","1,110.50","1,110.50","1,110.50",,
"Dec 24, 2015","1,118.30","1,118.30","1,118.30","1,118.30",,
"Dec 23, 2015","1,110.60","1,110.60","1,110.60","1,110.60",,
"Dec 22, 2015","1,116.40","1,116.40","1,116.40","1,116.40",,
"Dec 21, 2015","1,122.90","1,122.90","1,122.90","1,122.90",,
"Dec 18, 2015","1,105.70","1,105.70","1,105.70","1,105.70",,
"Dec 17, 2015","1,090.50","1,090.50","1,090.50","1,090.50",,
"Dec 16, 2015","1,117.70","1,117.70","1,117.70","1,117.70",,
"Dec 15, 2015","1,102.20","1,102.20","1,102.20","1,102.20",,
"Dec 14, 2015","1,103.80","1,103.80","1,103.80","1,103.80",,
"Dec 11, 2015","1,116.20","1,116.20","1,116.20","1,116.20",,
"Dec 10, 2015","1,112.70","1,112.70","1,112.70","1,112.70",,
"Dec 09, 2015","1,117.30","1,117.30","1,117.30","1,117.30",,
"Dec 08, 2015","1,116.40","1,116.40","1,116.40","1,116.40",,
"Dec 07, 2015","1,116.30","1,116.30","1,116.30","1,116.30",,
"Dec 04, 2015","1,125.20","1,125.20","1,125.20","1,125.20",,
"Dec 03, 2015","1,102.60","1,102.60","1,102.60","1,102.60",,
"Dec 02, 2015","1,094.40","1,094.40","1,094.40","1,094.40",,
"Dec 01, 2015","1,104.00","1,104.00","1,104.00","1,104.00",,
"Nov 30, 2015","1,105.90","1,105.90","1,105.90","1,105.90",,
"Nov 27, 2015","1,096.50","1,096.50","1,096.50","1,096.50",,
"Nov 26, 2015","1,070.80","1,070.10","1,074.20","1,069.20",,
"Nov 25, 2015","1,110.00","1,110.00","1,110.00","1,110.00",,
"Nov 24, 2015","1,113.20","1,113.20","1,113.20","1,113.20",,
"Nov 23, 2015","1,106.30","1,106.30","1,106.30","1,106.30",,
"Nov 20, 2015","1,115.40","1,115.40","1,115.40","1,115.40",,
"Nov 19, 2015","1,117.20","1,117.20","1,117.20","1,117.20",,
"Nov 18, 2015","1,108.50","1,108.50","1,108.50","1,108.50",,
"Nov 17, 2015","1,108.50","1,106.80","1,106.80","1,106.80",,
"Nov 16, 2015","1,124.10","1,123.40","1,123.40","1,123.40",,
"Nov 13, 2015","1,122.90","1,122.90","1,122.90","1,122.90",,
"Nov 12, 2015","1,122.90","1,122.90","1,122.90","1,122.90",,
"Nov 11, 2015","1,127.00","1,127.00","1,127.00","1,127.00",,
"Nov 10, 2015","1,131.00","1,135.00","1,135.00","1,135.00",,
"Nov 09, 2015","1,130.80","1,130.80","1,130.80","1,130.80",,
"Nov 06, 2015","1,129.50","1,129.50","1,129.50","1,129.50",,
"Nov 05, 2015","1,141.70","1,141.70","1,141.70","1,141.70",,
"Nov 04, 2015","1,142.80","1,142.80","1,142.80","1,142.80",,
"Nov 03, 2015","1,150.20","1,150.20","1,150.20","1,150.20",,
"Nov 02, 2015","1,172.00","1,172.00","1,172.00","1,172.00",,
"Oct 30, 2015","1,176.80","1,176.80","1,176.80","1,176.80",,
"Oct 29, 2015","1,183.40","1,183.40","1,183.40","1,183.40",,
"Oct 28, 2015","1,210.90","1,210.90","1,210.90","1,210.90",,
"Oct 27, 2015","1,199.80","1,199.80","1,199.80","1,199.80",,
"Oct 26, 2015","1,201.70","1,201.70","1,201.70","1,201.70",,
"Oct 23, 2015","1,200.10","1,200.10","1,200.10","1,200.10",,
"Oct 22, 2015","1,204.10","1,204.10","1,204.10","1,204.10",,
"Oct 21, 2015","1,205.40","1,205.40","1,205.40","1,205.40",,
"Oct 20, 2015","1,216.60","1,216.60","1,216.60","1,216.60",,
"Oct 19, 2015","1,212.00","1,206.50","1,207.20","1,206.50",,
"Oct 16, 2015","1,222.30","1,222.30","1,222.30","1,222.30",,
