,date,close,open,high,low,day
1506,2019-01-16,1325.1,1321.3,1326.0,1321.3,2
1507,2019-01-17,1323.6,1323.5,1323.5,1319.9,3
1508,2019-01-18,1313.8,1322.0,1322.1,1312.0,4
1509,2019-01-20,1282.05,1281.3,1282.7,1280.5,6
1510,2019-01-21,1279.05,1281.95,1282.95,1276.15,0
1511,2019-01-22,1314.2,1311.1,1315.8,1308.0,1
1512,2019-01-23,1315.2,1315.0,1316.3,1309.9,2
1513,2019-01-24,1310.8,1314.0,1314.0,1308.5,3
1514,2019-01-25,1329.1,1313.1,1333.2,1312.3,4
1515,2019-01-28,1334.5,1331.9,1334.7,1329.3,0
1516,2019-01-29,1340.2,1334.2,1341.7,1333.1,1
1517,2019-01-30,1340.5,1341.3,1353.2,1340.2,2
1518,2019-01-31,1350.0,1350.6,1354.6,1347.0,3
1519,2019-02-01,1347.1,1349.8,1352.2,1345.9,4
1520,2019-02-04,1344.3,1346.4,1346.4,1338.0,0
1521,2019-02-05,1344.6,1343.4,1345.7,1340.8,1
1522,2019-02-06,1339.7,1344.9,1344.9,1335.0,2
1523,2019-02-07,1339.4,1335.6,1340.7,1332.0,3
1524,2019-02-08,1343.7,1337.9,1344.2,1337.9,4
1525,2019-02-11,1337.0,1342.5,1342.7,1333.0,0
1526,2019-02-12,1338.9,1337.0,1342.1,1336.8,1
1527,2019-02-13,1340.1,1338.6,1345.2,1333.2,2
1528,2019-02-14,1338.7,1337.0,1342.0,1329.9,3
1529,2019-02-15,1346.8,1340.4,1350.0,1340.4,4
1530,2019-02-17,1324.25,1324.65,1324.95,1323.85,6
1531,2019-02-18,1329.55,1324.35,1330.75,1324.05,0
1532,2019-02-19,1369.6,1349.5,1369.6,1349.0,1
1533,2019-02-20,1372.5,1371.3,1374.3,1366.3,2
1534,2019-02-21,1352.4,1367.9,1368.4,1351.2,3
1535,2019-02-22,1357.6,1351.3,1359.8,1349.1,4
1536,2019-02-25,1354.2,1357.8,1359.0,1352.4,0
1537,2019-02-26,1353.4,1356.1,1357.0,1350.7,1
1538,2019-02-27,1346.0,1356.0,1356.0,1344.3,2
1539,2019-02-28,1341.0,1347.6,1353.4,1338.9,3
1540,2019-03-01,1323.8,1339.1,1340.6,1316.3,4
1541,2019-03-04,1311.9,1320.6,1322.3,1308.4,0
1542,2019-03-05,1309.1,1311.8,1314.1,1306.9,1
1543,2019-03-06,1312.2,1314.0,1316.1,1309.6,2
1544,2019-03-07,1310.7,1312.4,1312.9,1306.7,3
1545,2019-03-08,1324.3,1312.3,1325.7,1312.3,4
1546,2019-03-11,1315.7,1323.5,1323.5,1315.4,0
1547,2019-03-12,1322.4,1319.1,1326.3,1319.0,1
1548,2019-03-13,1333.8,1327.2,1336.0,1327.2,2
1549,2019-03-14,1319.4,1332.1,1332.1,1317.2,3
1550,2019-03-15,1327.1,1320.3,1330.1,1320.0,4
1551,2019-03-18,1325.8,1323.1,1330.4,1323.0,0
1552,2019-03-19,1330.9,1328.0,1334.7,1328.0,1
1553,2019-03-20,1325.8,1330.9,1341.1,1323.0,2
1554,2019-03-21,1331.6,1338.0,1344.2,1327.8,3
1555,2019-03-22,1336.5,1333.0,1338.8,1331.7,4
1556,2019-03-25,1346.7,1335.3,1348.4,1335.3,0
1557,2019-03-26,1339.2,1345.2,1345.6,1336.6,1
1558,2019-03-27,1334.7,1341.1,1342.8,1331.8,2
1559,2019-03-28,1313.3,1332.5,1334.7,1311.4,3
1560,2019-03-29,1316.5,1314.0,1322.3,1310.0,4
1561,2019-04-01,1312.4,1314.4,1319.3,1309.5,0
1562,2019-04-02,1313.4,1310.7,1314.7,1308.0,1
1563,2019-04-03,1313.3,1314.0,1316.6,1310.6,2
1564,2019-04-04,1312.2,1313.1,1316.4,1302.8,3
1565,2019-04-05,1313.7,1315.0,1315.0,1306.6,4
1566,2019-04-08,1319.9,1313.7,1325.4,1313.7,0
1567,2019-04-09,1326.3,1320.0,1328.3,1320.0,1
1568,2019-04-10,1331.9,1326.5,1332.2,1322.8,2
1569,2019-04-11,1311.3,1329.2,1329.2,1311.0,3
1570,2019-04-12,1313.4,1314.2,1316.9,1312.1,4
1571,2019-04-15,1309.4,1312.3,1312.3,1303.6,0
1572,2019-04-16,1295.2,1309.5,1309.5,1293.9,1
1573,2019-04-17,1294.7,1297.4,1299.6,1293.5,2
1574,2019-04-18,1294.1,1293.7,1296.9,1291.0,3
1575,2019-04-19,1277.9,1277.9,1277.9,1277.9,4
1576,2019-04-22,1295.8,1295.8,1299.5,1294.1,0
1577,2019-04-23,1291.2,1295.2,1296.2,1286.0,1
1578,2019-04-24,1297.4,1290.3,1298.4,1289.1,2
1579,2019-04-25,1297.7,1294.2,1302.5,1293.5,3
1580,2019-04-26,1306.8,1298.0,1308.7,1296.9,4
1581,2019-04-29,1299.4,1306.4,1306.4,1298.0,0
1582,2019-04-30,1303.6,1299.8,1305.9,1299.6,1
1583,2019-05-01,1302.2,1302.3,1307.0,1292.9,2
1584,2019-05-02,1289.9,1297.0,1297.2,1285.1,3
1585,2019-05-03,1299.2,1289.6,1301.7,1288.5,4
1586,2019-05-06,1301.8,1302.0,1305.0,1296.3,0
1587,2019-05-07,1303.6,1300.7,1305.3,1297.2,1
1588,2019-05-08,1299.5,1303.5,1310.2,1298.4,2
1589,2019-05-09,1303.2,1300.5,1307.0,1298.6,3
1590,2019-05-10,1305.3,1303.2,1308.0,1302.0,4
1591,2019-05-13,1319.5,1306.0,1319.8,1300.3,0
1592,2019-05-14,1313.6,1318.7,1321.7,1312.0,1
1593,2019-05-15,1315.1,1315.0,1318.7,1310.8,2
1594,2019-05-16,1303.5,1314.5,1316.2,1301.9,3
1595,2019-05-17,1293.0,1304.1,1305.9,1292.0,4
1596,2019-05-20,1294.6,1294.7,1295.8,1291.1,0
1597,2019-05-21,1290.4,1293.7,1293.8,1286.3,1
1598,2019-05-22,1291.4,1291.2,1293.7,1289.2,2
1599,2019-05-23,1302.7,1290.2,1304.2,1289.9,3
1600,2019-05-24,1301.0,1300.4,1302.0,1297.4,4
