,date,supply,open,close,high,low,market_cap,spread
1378,2017-02-04,16141162.5,1031.33,1042.9,1045.9,1015.16,16837411920,30.740000000000123
1379,2017-02-05,16146812.5,1043.52,1027.34,1043.63,1022.37,16588240157,21.260000000000105
1380,2017-02-06,16146812.5,1028.4,1038.15,1044.64,1028.16,16764422010,16.480000000000018
1381,2017-02-07,16146812.5,1040.14,1061.35,1061.93,1040.14,17141080574,21.789999999999964
1382,2017-02-08,16152087.5,1062.32,1063.07,1078.97,1037.49,17170799127,41.48000000000002
1383,2017-02-09,16152087.5,1064.7,994.38,1088.99,953.34,16063448932,135.64999999999998
1384,2017-02-10,16152087.5,995.63,988.67,998.91,946.69,15973053725,52.219999999999914
1385,2017-02-11,16157775.0,988.9,1004.45,1009.29,982.83,16229677099,26.459999999999923
1386,2017-02-12,16157775.0,1003.52,999.18,1004.76,996.92,16146290349,7.840000000000032
1387,2017-02-13,16157775.0,998.89,990.64,1002.1,976.0,16010322103,26.100000000000023
1388,2017-02-14,16163675.0,991.73,1004.55,1011.51,986.47,16237219721,25.039999999999964
1389,2017-02-15,16163675.0,1006.21,1007.48,1008.84,1001.58,16286329282,7.259999999999991
1390,2017-02-16,16163675.0,1007.65,1027.44,1033.37,1007.65,16610905026,25.719999999999914
1391,2017-02-17,16169187.5,1026.12,1046.21,1053.17,1025.64,16916338976,27.529999999999973
1392,2017-02-18,16169187.5,1049.21,1054.42,1061.1,1046.96,17051064834,14.139999999999873
1393,2017-02-19,16169187.5,1054.76,1047.87,1056.81,1043.46,16946913346,13.349999999999909
1394,2017-02-20,16174600.0,1048.69,1079.98,1080.49,1041.69,17468244508,38.799999999999955
1395,2017-02-21,16174600.0,1079.28,1115.3,1117.25,1076.93,18041455273,40.319999999999936
1396,2017-02-22,16174600.0,1114.8,1117.44,1125.39,1100.55,18077985665,24.840000000000146
1397,2017-02-23,16179925.0,1117.27,1166.72,1176.62,1116.96,18877442096,59.659999999999854
1398,2017-02-24,16179925.0,1172.71,1173.68,1200.39,1131.96,18992415818,68.43000000000006
1399,2017-02-25,16179925.0,1170.41,1143.84,1174.85,1124.59,18511906560,50.25999999999999
1400,2017-02-26,16186275.0,1144.27,1165.2,1167.47,1130.2,18860247630,37.26999999999998
1401,2017-02-27,16186275.0,1163.78,1179.97,1181.98,1163.38,19101427518,18.59999999999991
1402,2017-02-28,16186275.0,1180.72,1179.97,1193.25,1171.82,19103684801,21.430000000000064
1403,2017-03-01,16191787.5,1180.04,1222.5,1222.5,1179.69,19794459608,42.809999999999945
1404,2017-03-02,16191787.5,1224.68,1251.01,1262.13,1215.62,20258543188,46.51000000000022
1405,2017-03-03,16191787.5,1250.71,1274.99,1280.31,1250.71,20649259919,29.59999999999991
1406,2017-03-04,16197287.5,1277.43,1255.15,1279.4,1230.51,20329978338,48.8900000000001
1407,2017-03-05,16197287.5,1254.29,1267.12,1267.29,1238.06,20526235270,29.230000000000018
1408,2017-03-06,16197287.5,1267.47,1272.83,1276.0,1264.6,20620991547,11.400000000000091
1409,2017-03-07,16202812.5,1273.21,1223.54,1275.55,1204.8,19824773912,70.75
1410,2017-03-08,16202812.5,1223.23,1150.0,1232.16,1148.08,18635275050,84.08000000000015
1411,2017-03-09,16202812.5,1150.35,1188.49,1197.46,1141.23,19261188310,56.23000000000002
1412,2017-03-10,16208387.5,1189.36,1116.72,1270.47,1077.25,18100188612,193.22000000000003
1413,2017-03-11,16208387.5,1116.32,1175.83,1193.83,1116.32,19060468862,77.50999999999999
1414,2017-03-12,16208387.5,1176.62,1221.38,1226.98,1175.36,19801195767,51.62000000000012
1415,2017-03-13,16214000.0,1221.78,1231.92,1237.37,1217.03,19974334865,20.339999999999918
1416,2017-03-14,16214000.0,1232.16,1240.0,1244.81,1220.72,20107761880,24.089999999999918
1417,2017-03-15,16214000.0,1240.16,1249.61,1251.61,1239.75,20265831337,11.8599999999999
1418,2017-03-16,16219637.5,1251.33,1187.81,1257.98,1152.44,19265847025,105.53999999999996
1419,2017-03-17,16219637.5,1180.16,1100.23,1180.16,1099.57,17847435957,80.59000000000015
1420,2017-03-18,16219637.5,1099.69,973.82,1114.07,957.66,15798760668,156.40999999999997
1421,2017-03-19,16225587.5,976.73,1036.74,1069.91,976.73,16821676707,93.18000000000006
1422,2017-03-20,16225587.5,1037.24,1054.23,1063.03,1036.68,17107266418,26.34999999999991
1423,2017-03-21,16225587.5,1055.36,1120.54,1122.43,1055.36,18185299687,67.07000000000016
1424,2017-03-22,16231050.0,1120.65,1049.14,1120.65,1014.21,17028630158,106.44000000000005
1425,2017-03-23,16231050.0,1050.05,1038.59,1058.01,1028.93,16859314109,29.079999999999927
1426,2017-03-24,16231050.0,1038.45,937.52,1040.47,934.36,15220718764,106.11000000000001
1427,2017-03-25,16236762.5,936.54,972.78,975.76,903.71,15794781102,72.04999999999995
1428,2017-03-26,16236762.5,974.02,966.72,1007.96,954.19,15698465531,53.76999999999998
1429,2017-03-27,16236762.5,972.05,1045.77,1046.4,971.98,16983801541,74.42000000000007
